"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station"
000008011805,"","Halbe, Bahnhof",,"52.108720000000","13.701860000000",0,900000260017
000008012469,"","Neupetershain, Bahnhof",,"51.606340000000","14.161230000000",0,900000435347
000008010357,"","Guben, Bahnhof",,"51.957654000000","14.707037000000",0,900000445593
000008010353,"","Luckau-Uckro, Bahnhof",,"51.852255000000","13.608109000000",0,900000261596
000008010351,"","Torgau, Bahnhof",,"51.562779000000","12.991404000000",0,900000550119
000008012226,"","Liebenthal (OPR), Bahnhof",,"53.150875000000","12.394149000000",0,900000205130
000008010077,"","Dessau, Hauptbahnhof",,"51.838925000000","12.234147000000",0,900000550065
000008010072,"","Coswig (bei Dresden), Bahnhof",,"51.122816000000","13.579336000000",0,900000550271
000008010073,"","Cottbus, Hauptbahnhof",,"51.750373000000","14.325170000000",0,900000470000
000008010079,"","Doberlug-Kirchhain, Bahnhof",,"51.620951000000","13.563712000000",0,900000415112
000008010113,"","Frankfurt (Oder), Bahnhof",,"52.337218000000","14.546913000000",0,900000360000
000008010111,"","Forst, Bahnhof",,"51.739249000000","14.637640000000",0,900000445010
000008011542,"","Finsterwalde, Bahnhof",,"51.637000000000","13.710446000000",0,900000415005
000008011540,"","Brieskow-Finkenheerd, Finkenheerd Bhf",,"52.249263000000","14.568700000000",0,900000311232
000008011541,"","Falkensee, Finkenkrug Bhf",,"52.569498000000","13.051784000000",0,900000210011
000008013418,"","Zörnigall, Bahnhof",,"51.882925000000","12.731527000000",0,900000550131
000008012831,"","Sachsenhausen, Bahnhof",,"52.771155000000","13.251239000000",0,900000200041
000005100145,"","Szczecin, Gumience",,"53.397790000000","14.495159000000",0,900000810014
000008011269,"","Briesen (Mark), Bahnhof",,"52.346495000000","14.281342000000",0,900000310006
000008011308,"","Caputh-Geltow, Bahnhof",,"52.350345000000","12.984447000000",0,900000220658
000008011694,"","Greifswald, Bahnhof Süd",,"54.076114000000","13.397266000000",0,900000550218
000008080040,"","Berlin, Albrechtshof Bhf",,"52.549447000000","13.128968000000",0,900000037168
000008011691,"","Gransee, Bahnhof",,"53.001094000000","13.166567000000",0,900000203709
000008013093,"","Taucha (bei Leipzig), Bahnhof",,"51.379503000000","12.485713000000",0,900000550334
000008013090,"","Tantow, Bahnhof",,"53.270755000000","14.350222000000",0,900000341224
000008012458,"","Neuhof (bei Zossen), Bahnhof",,"52.139981000000","13.479451000000",0,900000245034
000008012215,"","Leuthen, Bahnhof",,"51.695043000000","14.256051000000",0,900000445986
000008010064,"","Britz, Bahnhof",,"52.872932000000","13.820549000000",0,900000350124
000008010060,"","Brandenburg, Hauptbahnhof",,"52.400794000000","12.566036000000",0,900000275110
000008010069,"","Calau, Bahnhof",,"51.738557000000","13.980124000000",0,900000435459
000008010103,"","Falkenberg/E., Bahnhof",,"51.583938000000","13.246458000000",0,900000415345
000008010100,"","Elsterwerda-Biehla, Bahnhof",,"51.472333000000","13.519123000000",0,900000415167
000008010109,"","S Flughafen Berlin-Schönefeld Bhf",,"52.390792000000","13.513522000000",0,900000260005
000008013406,"","Ziltendorf, Bahnhof",,"52.199433000000","14.616207000000",0,900000311631
000008013402,"","Zielitz, Bahnhof",,"52.297052000000","11.680380000000",0,900000550128
000008011250,"","Brand, Tropical Islands Bhf",,"52.029922000000","13.721582000000",0,900000260019
000008011016,"","Altdöbern, Bahnhof",,"51.652811000000","14.009201000000",0,900000435209
000008011131,"","Beilrode, Bahnhof",,"51.571015000000","13.064928000000",0,900000550267
000008013083,"","Tangerhütte, Bahnhof",,"52.436171000000","11.811890000000",0,900000550117
000008012445,"","Teichland, Bahnhof",,"51.818652000000","14.423752000000",0,900000446411
000008011867,"","Herzberg (Elster), Bahnhof",,"51.679667000000","13.203317000000",0,900000415683
000008012565,"","Ortrand, Bahnhof",,"51.373950000000","13.764527000000",0,900000435801
000008012568,"","Osterburg, Bahnhof",,"52.787728000000","11.760416000000",0,900000550102
000008011901,"","S Hohenschönhausen Bhf (Berlin)",,"52.566549000000","13.513698000000",0,900000152001
000008011909,"","Holzdorf, Bahnhof",,"51.780271000000","13.114162000000",0,900000550083
000008010053,"","S Blankenfelde (TF) Bhf",,"52.337628000000","13.415908000000",0,900000245027
000008012322,"","Medewitz, Bahnhof",,"52.060665000000","12.392208000000",0,900000222245
000008012329,"","Melchow, Bahnhof",,"52.775174000000","13.694631000000",0,900000350126
000008010177,"","Hoyerswerda, Bahnhof",,"51.432809000000","14.231523000000",0,900000439925
000008010175,"","Neuruppin, Rheinsberger Tor Bhf",,"52.929073000000","12.810993000000",0,900000205005
000008010171,"","Hosena, Bahnhof",,"51.454473000000","14.013742000000",0,900000435314
000008010179,"","Jatznick, Bahnhof",,"53.603073000000","13.937650000000",0,900000550222
000008013477,"","S Erkner Bhf",,"52.428396000000","13.752249000000",0,900000310004
000008013472,"","Brieselang, Bahnhof",,"52.582598000000","13.001286000000",0,900000210326
