"","districts","count_stops"
"1","Mitte",597
"2","Friedrichshain-Kreuzberg",604
"3","Pankow",1336
"4","Charlottenburg-Wilmersdorf",661
"5","Spandau",901
"6","Steglitz-Zehlendorf",1164
"7","Tempelhof-Schöneberg",948
"8","Neukölln",1023
"9","Treptow-Köpenick",1175
"10","Marzahn-Hellersdorf",908
"11","Lichtenberg",720
"12","Reinickendorf",1726
