"","stop_id","stop_name","stop_lat","stop_lon","zip"
"83","000008011691","Gransee, Bahnhof",53.001094,13.166567,"16775"
"84","000008013093","Taucha (bei Leipzig), Bahnhof",51.379503,12.485713,"4425"
"85","000008013090","Tantow, Bahnhof",53.270755,14.350222,"16307"
"86","000008012458","Neuhof (bei Zossen), Bahnhof",52.139981,13.479451,"15806"
"87","000008012215","Leuthen, Bahnhof",51.695043,14.256051,"3116"
"88","000008010064","Britz, Bahnhof",52.872932,13.820549,"16230"
"89","000008010060","Brandenburg, Hauptbahnhof",52.400794,12.566036,"14776"
"90","000008010069","Calau, Bahnhof",51.738557,13.980124,"3205"
"91","000008010103","Falkenberg/E., Bahnhof",51.583938,13.246458,"4895"
"92","000008010100","Elsterwerda-Biehla, Bahnhof",51.472333,13.519123,"4910"
"93","000008010109","S Flughafen Berlin-Schönefeld Bhf",52.390792,13.513522,"12529"
"94","000008013406","Ziltendorf, Bahnhof",52.199433,14.616207,"15295"
"95","000008013402","Zielitz, Bahnhof",52.297052,11.68038,"39326"
"96","000008011250","Brand, Tropical Islands Bhf",52.029922,13.721582,"15910"
"97","000008011016","Altdöbern, Bahnhof",51.652811,14.009201,"3229"
"98","000008011131","Beilrode, Bahnhof",51.571015,13.064928,"4886"
"99","000008013083","Tangerhütte, Bahnhof",52.436171,11.81189,"39517"
"100","000008012445","Teichland, Bahnhof",51.818652,14.423752,"3185"
"101","000008011867","Herzberg (Elster), Bahnhof",51.679667,13.203317,"4916"
"102","000008012565","Ortrand, Bahnhof",51.37395,13.764527,"1990"
"103","000008012568","Osterburg, Bahnhof",52.787728,11.760416,"39606"
"104","000008011901","S Hohenschönhausen Bhf (Berlin)",52.566549,13.513698,"13059"
"105","000008011909","Holzdorf, Bahnhof",51.780271,13.114162,"6917"
"106","000008010053","S Blankenfelde (TF) Bhf",52.337628,13.415908,"15827"
"107","000008012322","Medewitz, Bahnhof",52.060665,12.392208,"14827"
"108","000008012329","Melchow, Bahnhof",52.775174,13.694631,"16230"
"109","000008010177","Hoyerswerda, Bahnhof",51.432809,14.231523,"2977"
"110","000008010175","Neuruppin, Rheinsberger Tor Bhf",52.929073,12.810993,"16816"
"111","000008010171","Hosena, Bahnhof",51.454473,14.013742,"1996"
"112","000008010179","Jatznick, Bahnhof",53.603073,13.93765,"17309"
"113","000008013477","S Erkner Bhf",52.428396,13.752249,"15537"
"114","000008013472","Brieselang, Bahnhof",52.582598,13.001286,"14656"
"115","000008013470","S Bernau Bhf",52.676233,13.593034,"16321"
"116","000008012816","Rückersdorf, Bahnhof",51.567823,13.574231,"3238"
"117","000008013479","Falkensee, Bahnhof",52.5596,13.089887,"14612"
"118","000008012819","Rüdnitz, Bahnhof",52.717703,13.636219,"16359"
"119","000008012934","Schwante, Bahnhof",52.7348,13.091574,"16727"
"120","000008013238","Warnitz, Bahnhof",53.183929,13.877281,"17291"
"121","000008012552","Oehna (bei Niedergörsdorf), Bahnhof",51.932168,13.048686,"14913"
"122","000008010047","Biederitz, Bahnhof",52.153082,11.71687,"39175"
"123","000008010041","S Schöneweide Bhf (Berlin)",52.454611,13.510149,"12439"
"124","000008012315","Potsdam, Marquardt Bhf",52.458828,12.97167,"14476"
"125","000008010161","Eilenburg, Bahnhof Ost",51.463499,12.668029,"4838"
"126","000008013467","Beelitz-Heilstätten, Bahnhof",52.261969,12.926141,"14547"
"127","000008012923","Schönwalde (Spreewald), Bahnhof",51.991496,13.776715,"15910"
"128","000008011355","Demker, Bahnhof",52.517102,11.854104,"39517"
"129","000008013222","Walsleben, Bahnhof",52.946543,12.680112,"16818"
"130","000008011078","Bad Liebenwerda, Bahnhof",51.518301,13.402642,"4924"
"131","000008011116","Baruth, Bahnhof",52.058085,13.511824,"15837"
"132","000008013185","Velten, Bahnhof",52.685019,13.171933,"16727"
"133","000008013183","Vehlefanz, Bahnhof",52.722041,13.11547,"16727"
"134","000008011848","Heiligengrabe, Bahnhof",53.150035,12.343382,"16909"
"135","000008013188","Vetschau, Bahnhof",51.789471,14.081529,"3226"
"136","000008011960","Jessen (Elster), Bahnhof",51.792714,12.95448,"6917"
"137","000008012549","Oderin, Bahnhof",52.075217,13.726914,"15757"
"138","000008012260","Luckenwalde, Bahnhof",52.090609,13.16116,"14943"
"139","000008010154","Güterglück, Bahnhof",51.993474,11.984765,"39264"
"140","000008010153","Güstrow, Bahnhof",53.800373,12.172522,"18273"
"141","000008010151","Güsen, Bahnhof",52.3343,11.97654,"39317"
"142","000008012021","Klein Bünzow, Bahnhof",53.92366,13.622435,"17390"
"143","000008011344","Dannenwalde (bei Gransee), Bahnhof",53.081391,13.180737,"16775"
"144","000008011340","Dahlewitz, Bahnhof",52.327032,13.419632,"15827"
"145","000008012918","Schönow (UM), Bahnhof",53.184917,14.153873,"16306"
"146","000008013210","Walddrehna, Bahnhof",51.772807,13.617134,"15926"
"147","000008080710","Hohen Neuendorf, West Bhf",52.672356,13.271343,"16540"
"148","000008011100","Baitz, Bahnhof",52.164364,12.684519,"14822"
"149","000008011952","Jeber-Bergfrieden, Bahnhof",51.984667,12.349608,"6868"
"150","000008011959","Jesewitz (bei Leipzig), Bahnhof",51.419788,12.545009,"4838"
