"","District","Parking Spaces"
"1",6,26488
"2",6,4090
"3",6,26000
"4",6,20500
"5",6,2726
"6",6,7400
"7",6,7150
"8",6,13479.1428571429
"9",6,13479.1428571429
"10",6,13479.1428571429
"11",6,13479.1428571429
"12",6,13479.1428571429
