"","c.zips1..zips2."
"455","12047"
"456","10961"
"457","12047"
"458","10969"
"459","10997"
"460","10969"
"461","10969"
"462","10961"
"463","10117"
"464","10969"
"465","10969"
"466","10961"
"467","12101"
"468","10961"
"469","10961"
"470","10961"
"471","13627"
"472","13627"
"473","13627"
"474","13405"
"475","13627"
"476","13627"
"477","13627"
"478","13627"
"479","13627"
"480","10553"
"481","13353"
"482","13405"
"483","13627"
"484","13627"
"485","10553"
"486","13627"
"487","13627"
"488","10553"
"489","10589"
"490","13627"
"491","10553"
"492","14059"
"493","13629"
"494","14050"
"495","13599"
"496","14059"
"497","14059"
"498","14059"
"499","13627"
"500","14059"
"501","14059"
"502","13627"
"503","13627"
"504","10589"
"505","14059"
"506","14059"
"507","10553"
"508","10625"
"509","10625"
"510","10551"
"511","10553"
"512","10627"
"513","14059"
"514","10627"
"515","10627"
"516","10627"
"517","10627"
"518","10627"
"519","10627"
"520","10627"
"521","10627"
"522","10627"
"523","10625"
"524","10625"
"525","10627"
"526","10625"
"527","10625"
"528","10625"
"529","10625"
"530","10623"
"531","10787"
"532","10623"
"533","10787"
"534","10625"
"535","10787"
"536","10625"
"537","10629"
"538","10625"
"539","10629"
"540","10625"
"541","10629"
"542","10629"
"543","10627"
"544","14055"
"545","10627"
"546","14055"
"547","10627"
"548","10627"
"549","10627"
"550","10627"
"551","10625"
"552","10625"
"553","10625"
"554","10627"
"555","10625"
"556","10625"
"557","14055"
"558","14055"
"559","14055"
"560","13595"
"561","14193"
"562","13599"
"563","14050"
"564","14053"
"565","14050"
"566","14050"
"567","13599"
"568","14055"
"569","14055"
"570","14055"
"571","14055"
"572","14055"
"573","14055"
"574","14055"
"575","14193"
"576","14055"
"577","14055"
"578","14055"
"579","14052"
"580","14050"
"581","14055"
"582","14052"
"583","14055"
"584","14055"
"585","14050"
"586","14050"
"587","14055"
"588","14055"
"589","14055"
"590","14055"
"591","14059"
"592","14059"
"593","14055"
"594","14055"
"595","13587"
"596","13587"
"597","13585"
"598","13585"
"599","13587"
"600","13587"
"601","13587"
"602","13587"
"603","13585"
"604","13585"
"605","13587"
"606","13587"
"607","13599"
"608","13599"
"609","13587"
"610","13587"
"611","13587"
"612","13599"
"613","13599"
"614","13587"
"615","13587"
"616","13589"
"617","13591"
"618","13589"
"619","13589"
"620","13589"
"621","13589"
"622","13591"
"623","13591"
"624","13591"
"625","13591"
"626","13589"
"627","13589"
"628","13589"
"629","13589"
"630","13589"
"631","13589"
"632","13589"
"633","13589"
"634","13591"
"635","13591"
"636","13589"
"637","13591"
"638","13589"
"639","13583"
"640","13583"
"641","13585"
"642","13583"
"643","13589"
"644","13583"
"645","13583"
"646","13583"
"647","13583"
"648","13585"
"649","13585"
"650","13583"
"651","13591"
"652","13585"
"653","13585"
"654","13585"
"655","13597"
"656","13583"
"657","13585"
"658","13597"
"659","13585"
"660","13583"
"661","13585"
"662","13597"
"663","13585"
"664","13585"
"665","13583"
"666","13585"
"667","13585"
"668","13585"
"669","13585"
"670","13585"
"671","13585"
"672","13585"
"673","13597"
"674","13597"
"675","13599"
"676","13599"
"677","13597"
"678","13597"
"679","13597"
"680","13597"
"681","13599"
"682","13597"
"683","13599"
"684","13597"
"685","13597"
"686","13597"
"687","13597"
"688","13581"
"689","13581"
"690","13595"
"691","13597"
"692","13597"
"693","13581"
"694","13581"
"695","13581"
"696","13595"
"697","13595"
"698","13593"
"699","13595"
"700","13595"
"701","13595"
"702","13595"
"703","13595"
"704","13595"
"705","13593"
"706","13595"
"707","13595"
"708","13595"
"709","13595"
"710","14089"
"711","14089"
"712","14089"
"713","14089"
"714","14089"
"715","13597"
"716","14055"
"717","13595"
"718","14055"
"719","13581"
"720","13595"
"721","13595"
"722","13595"
"723","13595"
"724","13595"
"725","13595"
"726","13597"
"727","13599"
"728","13599"
"729","13599"
"730","13599"
"731","13599"
"732","13599"
"733","13599"
"734","13599"
"735","13599"
"736","13629"
"737","13629"
"738","13629"
"739","13629"
"740","13599"
"741","13627"
"742","13629"
"743","13629"
"744","13629"
"745","13629"
"746","13629"
"747","13629"
"748","13629"
"749","13629"
"750","13629"
"751","13629"
"752","13581"
"753","13591"
"754","13591"
"755","13591"
"756","13591"
"757","13591"
"758","13591"
"759","13591"
"760","13591"
"761","13581"
"762","13591"
"763","13591"
"764","13591"
"765","13581"
"766","13581"
"767","13591"
"768","13591"
"769","13591"
"770","13591"
"771","14612"
"772","14612"
"773","14612"
"774","13591"
"775","13591"
"776","13593"
"777","13593"
"778","13591"
"779","13591"
"780","13581"
"781","13593"
"782","13591"
"783","13591"
"784","13581"
"785","13581"
"786","13595"
"787","13593"
"788","14089"
"789","14089"
"790","14089"
"791","14089"
"792","14089"
"793","14089"
"794","14089"
"795","14089"
"796","14089"
"797","14089"
"798","14089"
"799","14476"
"800","14089"
"801","14089"
"802","14089"
"803","14089"
"804","14089"
"805","14089"
"806","14089"
"807","14089"
"808","14089"
"809","14089"
"810","14089"
"811","14089"
"812","14089"
"813","14089"
"814","14089"
"815","14089"
"816","14089"
"817","14089"
"818","14089"
"819","14089"
"820","14089"
"821","14089"
"822","14089"
"823","14057"
"824","10711"
"825","14057"
"826","14057"
"827","10711"
"828","14199"
"829","10709"
"830","10709"
"831","10707"
"832","10709"
"833","10709"
"834","10707"
"835","10711"
"836","10629"
"837","10711"
"838","10789"
"839","10623"
"840","10719"
"841","10709"
"842","10719"
"843","10719"
"844","10709"
"845","12159"
"846","12159"
"847","10709"
"848","10709"
"849","10825"
"850","12159"
"851","10825"
"852","12159"
"853","12159"
"854","12159"
"855","14197"
"856","14197"
"857","12163"
"858","14197"
"859","12159"
"860","12159"
"861","12163"
"862","12159"
"863","12159"
"864","14197"
"865","14197"
"866","14193"
"867","14197"
"868","14197"
"869","14199"
"870","14193"
"871","14199"
"872","14193"
"873","14193"
"874","14193"
"875","14193"
"876","14193"
"877","14199"
"878","14193"
"879","14129"
"880","14129"
"881","14129"
"882","14089"
"883","14129"
"884","14193"
"885","14055"
"886","14199"
"887","14193"
"888","14193"
"889","14193"
"890","14055"
"891","10711"
"892","14193"
"893","14193"
"894","14193"
"895","14055"
"896","14193"
"897","14193"
"898","14193"
"899","14193"
"900","14163"
"901","14165"
"902","14163"
"903","14169"
"904","14163"
"905","14163"
"906","14163"
"907","14165"
"908","14165"
"909","14165"
"910","14169"
"911","14167"
"912","14167"
"913","14165"
"914","14167"
"915","14169"
"916","14167"
"917","14169"
"918","14169"
"919","14165"
"920","14169"
"921","14165"
"922","14169"
"923","14167"
"924","14169"
"925","14165"
"926","14532"
"927","14165"
"928","14165"
"929","14165"
"930","14165"
"931","14165"
"932","14532"
"933","14165"
"934","14165"
"935","14165"
"936","14165"
"937","14169"
"938","14169"
"939","14163"
"940","14167"
"941","14169"
"942","14169"
"943","14167"
"944","14167"
"945","14169"
"946","14169"
"947","14169"
"948","14169"
"949","14169"
"950","14169"
"951","14163"
"952","14163"
"953","14169"
"954","14163"
"955","14163"
"956","14163"
"957","14129"
"958","14169"
"959","14169"
"960","14169"
"961","14199"
"962","14193"
"963","14195"
"964","14197"
"965","14169"
"966","14195"
"967","14195"
"968","14195"
"969","14195"
"970","14199"
"971","14195"
"972","14195"
"973","14169"
"974","14169"
"975","14169"
"976","14169"
"977","14195"
"978","14197"
"979","14169"
"980","14195"
"981","14195"
"982","12165"
"983","14195"
"984","14169"
"985","14195"
"986","12165"
"987","14195"
"988","14197"
"989","12165"
"990","12165"
"991","14195"
"992","14195"
"993","14169"
"994","14169"
"995","14129"
"996","14129"
"997","14129"
"998","14129"
"999","14129"
"1000","14129"
"1001","14129"
"1002","14129"
"1003","14129"
"1004","14129"
"1005","14129"
"1006","14109"
"1007","14109"
"1008","14129"
"1009","14129"
"1010","14129"
"1011","14163"
"1012","14129"
"1013","14163"
"1014","14163"
"1015","14163"
"1016","14163"
"1017","14129"
"1018","14129"
"1019","14163"
"1020","14467"
"1021","14109"
"1022","14109"
"1023","14109"
"1024","14482"
"1025","14109"
"1026","14109"
"1027","14467"
"1028","14109"
"1029","14109"
"1030","14109"
"1031","14109"
"1032","14109"
"1033","14109"
"1034","14109"
"1035","14109"
"1036","14109"
"1037","14109"
"1038","14109"
"1039","14109"
"1040","14109"
"1041","14109"
"1042","14109"
"1043","14109"
"1044","14109"
"1045","14109"
"1046","14482"
"1047","14482"
"1048","14109"
"1049","14482"
"1050","14482"
"1051","14109"
"1052","14482"
"1053","10825"
"1054","10827"
