"","c.zips5..zips6..zips7..zips8..zips9..zips10."
"446","16356"
"447","16356"
"448","16356"
"449","16341"
"450","16341"
"451","16341"
"452","16341"
"453","16341"
"454","16341"
"455","16341"
"456","16341"
"457","16341"
"458","16341"
"459","16341"
"460","16341"
"461","16341"
"462","16341"
"463","16341"
"464","16341"
"465","16341"
"466","16341"
"467","16341"
"468","16341"
"469","16341"
"470","16341"
"471","16341"
"472","16341"
"473","16341"
"474","16341"
"475","16341"
"476","16341"
"477","16341"
"478","16341"
"479","16341"
"480","16341"
"481","16341"
"482","16341"
"483","16341"
"484","16341"
"485","16341"
"486","16341"
"487","13125"
"488","13125"
"489","13125"
"490","16341"
"491","16341"
"492","12689"
"493","16348"
"494","16348"
"495","16359"
"496","16359"
"497","16359"
"498","16359"
"499","16244"
"500","17268"
"501","16244"
"502","16244"
"503","16359"
"504","16359"
"505","16321"
"506","16356"
"507","16356"
"508","16356"
"509","16356"
"510","16356"
"511","16356"
"512","16356"
"513","16356"
"514","16356"
"515","16356"
"516","16348"
"517","16348"
"518","16348"
"519","16348"
"520","16348"
"521","16348"
"522","16348"
"523","16321"
"524","16321"
"525","16321"
"526","16321"
"527","16341"
"528","16341"
"529","16321"
"530","16341"
"531","16341"
"532","16341"
"533","16341"
"534","16341"
"535","13059"
"536","16348"
"537","16515"
"538","15230"
"539","15236"
"540","16225"
"541","16225"
"542","16225"
"543","16225"
"544","16225"
"545","16225"
"546","16230"
"547","16247"
"548","16247"
"549","16230"
"550","16230"
"551","16230"
"552","16230"
"553","16230"
"554","16230"
"555","16230"
"556","16230"
"557","16230"
"558","16230"
"559","16230"
"560","16230"
"561","16230"
"562","16225"
"563","16225"
"564","16225"
"565","16225"
"566","16230"
"567","16230"
"568","16230"
"569","16247"
"570","16230"
"571","16230"
"572","16247"
"573","16247"
"574","16247"
"575","16247"
"576","16247"
"577","16247"
"578","16247"
"579","17268"
"580","16247"
"581","16247"
"582","16247"
"583","16247"
"584","16247"
"585","16230"
"586","16247"
"587","16247"
"588","16247"
"589","16247"
"590","15344"
"591","15344"
"592","15344"
"593","15344"
"594","16278"
"595","16278"
"596","16278"
"597","16278"
"598","16278"
"599","16278"
"600","16278"
"601","16278"
"602","16278"
"603","16225"
"604","16348"
"605","16225"
"606","14776"
"607","14776"
"608","14776"
"609","14776"
"610","14776"
"611","14776"
"612","16515"
"613","16761"
"614","16761"
"615","16761"
"616","15567"
"617","15567"
"618","16556"
"619","16556"
"620","16547"
"621","16547"
"622","16559"
"623","16559"
"624","16727"
"625","16727"
"626","16515"
"627","16727"
"628","16727"
"629","16761"
"630","16761"
"631","16247"
"632","16247"
"633","16247"
"634","16247"
"635","14513"
"636","03149"
"637","16727"
"638","16559"
"639","16559"
"640","16515"
"641","16761"
"642","16727"
"643","10319"
"644","12247"
"645","69-100"
"646","15518"
"647","15864"
"648","14550"
"649","14789"
"650","14789"
"651","14789"
"652","14929"
"653","03042"
"654","14943"
"655","14974"
"656","14974"
"657","14943"
"658","14974"
"659","03042"
"660","16303"
"661","15898"
"662","04934"
"663","03253"
"664","14776"
"665","16945"
"666","13357"
"667","13357"
"668","14169"
"669","14169"
"670","14167"
"671","14167"
"672","14163"
"673","14163"
"674","14129"
"675","14129"
"676","14129"
"677","14129"
"678","10829"
"679","10829"
"680","10785"
"681","10785"
"682","12159"
"683","12159"
"684","12165"
"685","12165"
"686","12163"
"687","12163"
"688","14195"
"689","14195"
"690","12203"
"691","12203"
"692","12619"
"693","14929"
"694","15711"
"695","15711"
"696","15711"
"697","15711"
"698","15711"
"699","15711"
"700","14797"
"701","14974"
"702","15806"
"703","15806"
"704","15806"
"705","14558"
"706","14558"
"707","15299"
"708","15366"
"709","17291"
"710","17291"
"711","17291"
"712","17291"
"713","14624"
"714","15711"
"715","15711"
"716","13409"
"717","13403"
"718","16303"
"719","16307"
"720","14943"
"721","15324"
