"","c.zips8..zips9..zips10..zips11."
"455","12043"
"456","10783"
"457","10783"
"458","10783"
"459","10783"
"460","10783"
"461","12161"
"462","12161"
"463","12163"
"464","14055"
"465","14050"
"466","14050"
"467","12043"
"468","14057"
"469","13587"
"470","14059"
"471","13629"
"472","13629"
"473","14513"
"474","13629"
"475","12103"
"476","14167"
"477","14199"
"478","14199"
"479","14199"
"480","10713"
"481","10713"
"482","10711"
"483","10713"
"484","13587"
"485","10713"
"486","10713"
"487","14199"
"488","10999"
"489","14199"
"490","14199"
"491","13595"
"492","14055"
"493","14050"
"494","14109"
"495","14109"
"496","14109"
"497","14513"
"498","10713"
"499","12161"
"500","12161"
"501","12161"
"502","14199"
"503","12043"
"504","13629"
"505","13629"
"506","12203"
"507","10783"
"508","12347"
"509","13407"
"510","12347"
"511","12347"
"512","14199"
"513","12047"
"514","13437"
"515","13437"
"516","10711"
"517","10711"
"518","13593"
"519","13465"
"520","13581"
"521","13581"
"522","13581"
"523","13581"
"524","13581"
"525","13581"
"526","12209"
"527","13595"
"528","13465"
"529","13465"
"530","10711"
"531","10711"
"532","12277"
"533","12207"
"534","12277"
"535","12277"
"536","12107"
"537","12107"
"538","12107"
"539","12349"
"540","12351"
"541","12351"
"542","12351"
"543","12353"
"544","12353"
"545","12353"
"546","13597"
"547","12353"
"548","12357"
"549","12357"
"550","12357"
"551","12357"
"552","12357"
"553","12357"
"554","12357"
"555","12357"
"556","12355"
"557","12353"
"558","12353"
"559","12353"
"560","12353"
"561","12279"
"562","12353"
"563","12351"
"564","13585"
"565","12351"
"566","12159"
"567","12349"
"568","12107"
"569","12107"
"570","12107"
"571","12277"
"572","12277"
"573","12277"
"574","10715"
"575","10715"
"576","10825"
"577","14167"
"578","12359"
"579","10783"
"580","12351"
"581","12351"
"582","12359"
"583","12347"
"584","12347"
"585","12347"
"586","12347"
"587","12099"
"588","13435"
"589","12099"
"590","10825"
"591","10715"
"592","13359"
"593","12103"
"594","12247"
"595","12247"
"596","12355"
"597","10963"
"598","13597"
"599","13585"
"600","13597"
"601","13597"
"602","13597"
"603","10777"
"604","10785"
"605","10785"
"606","13585"
"607","13597"
"608","13597"
"609","13597"
"610","13585"
"611","13597"
"612","14052"
"613","13599"
"614","13599"
"615","10777"
"616","12043"
"617","12043"
"618","12357"
"619","12357"
"620","13599"
"621","13503"
"622","13503"
"623","13503"
"624","13503"
"625","13503"
"626","13503"
"627","13187"
"628","13359"
"629","13359"
"630","12437"
"631","13599"
"632","10777"
"633","10559"
"634","12347"
"635","12103"
"636","10785"
"637","12099"
"638","12277"
"639","14129"
"640","12103"
"641","10715"
"642","12103"
"643","13585"
"644","13403"
"645","12347"
"646","14169"
"647","13403"
"648","12109"
"649","13583"
"650","12209"
"651","14167"
"652","13585"
"653","14109"
"654","14109"
"655","13507"
"656","14193"
"657","13507"
"658","13507"
"659","13359"
"660","12209"
"661","13585"
"662","13347"
"663","13585"
"664","14052"
"665","12101"
"666","13585"
"667","14089"
"668","14167"
"669","12205"
"670","12205"
"671","14163"
"672","12205"
"673","14167"
"674","12309"
"675","12305"
"676","12305"
"677","12305"
"678","12307"
"679","12305"
"680","12305"
"681","12159"
"682","12305"
"683","12351"
"684","12353"
"685","12105"
"686","13629"
"687","12277"
"688","12277"
"689","12277"
"690","13585"
"691","13407"
"692","14059"
"693","14059"
"694","14167"
"695","14167"
"696","12349"
"697","12349"
"698","13597"
"699","14199"
"700","10713"
"701","10713"
"702","10713"
"703","10713"
"704","10713"
"705","10713"
"706","10713"
"707","10719"
"708","13465"
"709","13595"
"710","10719"
"711","10713"
"712","10713"
"713","10713"
"714","10713"
"715","10713"
"716","10713"
"717","14199"
"718","12437"
"719","13585"
"720","13585"
"721","12355"
"722","12109"
"723","13627"
"724","14167"
"725","12099"
"726","10961"
"727","10961"
"728","12099"
"729","14195"
"730","14169"
"731","14195"
"732","13403"
"733","12309"
"734","14169"
"735","10559"
"736","10559"
"737","13585"
"738","13357"
"739","12163"
"740","13403"
"741","13403"
"742","13403"
"743","10713"
"744","14167"
"745","13597"
"746","13435"
"747","12103"
"748","13435"
"749","13627"
"750","10557"
"751","14050"
"752","14050"
"753","10557"
"754","10557"
"755","13405"
"756","13503"
"757","13503"
"758","13503"
"759","13503"
"760","13503"
"761","13503"
"762","13503"
"763","13503"
"764","13357"
"765","13503"
"766","13503"
"767","13503"
"768","13503"
"769","13503"
"770","13503"
"771","13503"
"772","13503"
"773","13503"
"774","13507"
"775","12355"
"776","10783"
"777","12101"
"778","10997"
"779","13359"
"780","10713"
"781","13359"
"782","13589"
"783","13503"
"784","13505"
"785","13505"
"786","13505"
"787","13505"
"788","13505"
"789","12107"
"790","13505"
"791","13505"
"792","13505"
"793","13505"
"794","13505"
"795","13505"
"796","13503"
"797","12487"
"798","12487"
"799","13581"
"800","12209"
"801","13435"
"802","12305"
"803","13503"
"804","14199"
"805","12347"
"806","13359"
"807","13347"
"808","13507"
"809","12347"
"810","13407"
"811","13407"
"812","13403"
"813","12305"
"814","13403"
"815","13403"
"816","14055"
"817","14055"
"818","13359"
"819","13403"
"820","12305"
"821","13403"
"822","13407"
"823","13407"
"824","12347"
"825","13407"
"826","13347"
"827","13359"
"828","14055"
"829","10437"
"830","12163"
"831","12163"
"832","13437"
"833","14513"
"834","13407"
"835","13407"
"836","14055"
"837","12351"
"838","12351"
"839","10585"
"840","14055"
"841","13403"
"842","14169"
"843","12353"
"844","13403"
"845","13437"
"846","13437"
"847","13435"
"848","13437"
"849","13437"
"850","14055"
"851","12353"
"852","13403"
"853","13403"
"854","10963"
"855","14195"
"856","13591"
"857","10585"
"858","14057"
"859","13591"
"860","13589"
"861","13589"
"862","13583"
"863","13583"
"864","13583"
"865","10711"
"866","13503"
"867","13503"
"868","13583"
"869","13583"
"870","13585"
"871","13585"
"872","13585"
"873","13585"
"874","13583"
"875","10963"
"876","13589"
"877","13583"
"878","13583"
"879","13589"
"880","14167"
"881","13347"
"882","13347"
"883","13347"
"884","13347"
"885","13347"
"886","13347"
"887","13351"
"888","13403"
"889","13405"
"890","13587"
"891","13347"
"892","13347"
"893","12351"
"894","13347"
"895","13347"
"896","13347"
"897","13347"
"898","13585"
"899","13591"
"900","13359"
"901","13435"
"902","13347"
"903","13347"
"904","13627"
"905","13347"
"906","13347"
"907","13589"
"908","13405"
"909","14167"
"910","13403"
"911","14109"
"912","14089"
"913","10711"
"914","14513"
"915","14089"
"916","13405"
"917","13405"
"918","10585"
"919","13589"
"920","13347"
"921","13585"
"922","13405"
"923","13405"
"924","13503"
"925","13589"
"926","14167"
"927","13587"
"928","14167"
"929","14163"
"930","14163"
"931","14163"
"932","14163"
"933","14163"
"934","14163"
"935","14167"
"936","12351"
"937","12351"
"938","12351"
"939","12351"
"940","12351"
"941","12351"
"942","13503"
"943","14089"
"944","14167"
"945","13587"
"946","13507"
"947","10707"
"948","13589"
"949","14612"
"950","13585"
"951","14059"
"952","14059"
"953","10585"
"954","10585"
"955","10585"
"956","13353"
"957","14109"
"958","10829"
"959","10829"
"960","12101"
"961","12351"
"962","12103"
"963","14089"
"964","12103"
"965","12101"
"966","13507"
"967","13583"
"968","12101"
"969","12103"
"970","12103"
"971","12309"
"972","12101"
"973","10829"
"974","10829"
"975","13627"
"976","10783"
"977","10585"
"978","13407"
"979","10785"
"980","10785"
"981","10829"
"982","10829"
"983","12207"
"984","13627"
"985","12249"
"986","12249"
"987","12057"
"988","12105"
"989","13629"
"990","13359"
"991","13585"
"992","13585"
"993","13591"
"994","10829"
"995","13505"
"996","14167"
"997","10783"
"998","14513"
"999","14165"
"1000","14513"
"1001","14089"
"1002","13629"
"1003","13629"
"1004","13627"
"1005","13627"
"1006","13467"
"1007","13585"
"1008","13629"
"1009","13509"
"1010","12347"
"1011","13585"
"1012","13627"
"1013","13585"
"1014","14167"
"1015","14199"
"1016","13359"
"1017","13509"
"1018","13509"
"1019","13509"
"1020","10829"
"1021","12101"
"1022","10963"
"1023","13509"
"1024","13585"
"1025","13585"
"1026","13359"
"1027","10969"
"1028","10829"
"1029","14165"
"1030","12353"
"1031","12353"
"1032","12357"
"1033","13407"
"1034","10961"
"1035","14513"
"1036","13581"
"1037","14109"
"1038","10963"
"1039","13585"
"1040","13359"
"1041","13465"
"1042","10969"
"1043","13359"
"1044","10999"
"1045","12103"
"1046","10999"
"1047","10999"
"1048","10999"
"1049","10999"
"1050","13591"
"1051","12047"
"1052","12047"
"1053","12043"
"1054","12043"
"1055","12043"
"1056","12043"
"1057","12043"
"1058","12057"
"1059","13629"
"1060","12051"
"1061","14089"
"1062","12347"
"1063","12279"
"1064","12051"
"1065","12163"
"1066","12057"
"1067","12105"
"1068","12043"
"1069","12043"
"1070","12043"
"1071","12043"
"1072","12043"
"1073","12047"
"1074","12047"
"1075","12047"
"1076","10999"
"1077","10999"
"1078","10999"
"1079","10999"
"1080","10999"
"1081","13407"
"1082","13435"
"1083","13435"
"1084","14195"
"1085","14195"
"1086","12163"
"1087","12203"
"1088","12163"
"1089","13403"
"1090","12357"
"1091","12161"
"1092","12169"
"1093","12105"
"1094","12355"
"1095","12105"
"1096","12169"
"1097","12161"
"1098","12357"
"1099","12203"
"1100","12163"
"1101","12203"
"1102","14195"
"1103","10437"
"1104","13509"
"1105","13581"
"1106","13581"
"1107","13507"
"1108","14199"
"1109","13347"
"1110","10585"
"1111","12159"
"1112","14169"
"1113","12209"
"1114","10969"
"1115","14089"
"1116","13595"
"1117","12163"
"1118","13585"
"1119","12357"
"1120","12305"
"1121","10115"
"1122","10115"
"1123","12163"
"1124","13505"
"1125","14129"
"1126","14129"
"1127","13591"
"1128","14513"
"1129","12247"
"1130","12247"
"1131","12247"
"1132","12247"
"1133","13505"
"1134","12247"
"1135","12247"
"1136","12247"
"1137","10437"
"1138","13359"
"1139","13359"
"1140","13359"
"1141","13359"
"1142","13347"
"1143","13347"
"1144","13347"
"1145","13347"
"1146","12355"
"1147","10999"
"1148","10559"
"1149","10559"
"1150","10557"
"1151","10559"
"1152","12209"
"1153","13353"
"1154","12107"
"1155","12203"
"1156","12307"
"1157","12305"
"1158","13359"
"1159","13359"
"1160","13359"
"1161","13359"
"1162","13359"
"1163","13583"
"1164","12209"
"1165","10829"
"1166","10437"
"1167","10825"
"1168","13359"
"1169","12309"
"1170","13158"
"1171","10707"
"1172","13158"
"1173","13158"
"1174","13597"
"1175","10825"
"1176","13597"
"1177","12159"
"1178","14109"
"1179","12209"
"1180","12249"
"1181","13359"
"1182","12209"
"1183","12277"
"1184","12277"
"1185","14055"
"1186","10969"
"1187","13359"
"1188","13405"
"1189","12207"
"1190","13627"
"1191","13359"
"1192","13359"
"1193","13359"
"1194","10559"
"1195","10969"
"1196","14129"
"1197","10559"
"1198","12355"
"1199","13407"
"1200","10557"
"1201","13581"
"1202","13435"
"1203","13435"
"1204","10437"
"1205","12357"
"1206","13359"
"1207","13359"
"1208","13359"
"1209","13359"
"1210","12209"
"1211","10829"
"1212","13407"
"1213","14169"
"1214","13437"
"1215","10969"
"1216","10559"
"1217","14050"
"1218","13627"
"1219","13407"
"1220","13627"
"1221","13407"
"1222","13359"
"1223","13187"
"1224","14169"
"1225","13627"
"1226","10719"
"1227","13627"
"1228","12305"
"1229","12349"
"1230","14163"
"1231","12305"
"1232","12309"
"1233","12309"
"1234","13407"
"1235","10999"
"1236","10999"
"1237","10999"
"1238","10999"
"1239","13589"
"1240","12309"
"1241","13589"
"1242","13589"
"1243","12305"
"1244","10999"
"1245","10999"
"1246","13629"
"1247","10969"
"1248","10963"
"1249","13629"
"1250","10963"
"1251","10783"
"1252","10829"
"1253","13629"
"1254","10783"
"1255","12101"
"1256","13407"
"1257","13581"
"1258","12103"
"1259","12103"
"1260","14167"
"1261","12103"
"1262","12103"
"1263","12437"
"1264","12103"
"1265","12437"
"1266","14167"
"1267","10783"
"1268","12057"
"1269","12057"
"1270","12057"
"1271","14199"
"1272","14109"
"1273","10783"
"1274","10825"
"1275","13629"
"1276","13629"
"1277","12347"
"1278","12347"
"1279","12359"
"1280","12359"
"1281","12347"
"1282","12347"
"1283","12347"
"1284","13359"
"1285","13629"
"1286","10437"
"1287","12099"
"1288","14193"
"1289","13629"
"1290","10825"
"1291","10783"
"1292","13627"
"1293","13357"
"1294","12437"
"1295","12359"
"1296","12107"
"1297","12107"
"1298","12277"
"1299","13629"
"1300","12305"
"1301","12277"
"1302","12107"
"1303","12047"
